date,wiki_open,sheepb_open,open_absolute_relative_difference,wiki_high,sheepb_high,high_absolute_relative_difference,wiki_low,sheepb_low,low_absolute_relative_difference,wiki_close,sheepb_close,close_absolute_relative_difference,wiki_volume,sheepb_volume,volume_absolute_relative_difference
2017-06-23,260.52,260.5199890136719,4.217076654544627e-08,263.57,263.57000732421875,2.7788514378457307e-08,258.1,258.1000061035156,2.364787143882552e-08,261.25,261.25,0.0,869413.0,884600.0,0.017468107792268928
2017-06-26,261.0,261.0,0.0,264.05,264.04998779296875,4.6229999051128345e-08,259.39,259.3900146484375,5.647263767727395e-08,260.91,260.9100036621094,1.403591021187367e-08,690626.0,690600.0,3.7647004312080234e-05
2017-06-27,261.03,261.0299987792969,4.676485865218183e-09,264.46,264.4599914550781,3.2310829012338615e-08,259.58,259.5799865722656,5.172869388392343e-08,259.96,259.9599914550781,3.287014105346486e-08,401254.0,401300.0,0.00011464060171362256
2017-06-28,261.44,261.44000244140625,9.338304129968833e-09,263.67,263.6700134277344,5.092628807545907e-08,260.02,260.0199890136719,4.225185801232101e-08,262.6,262.6000061035156,2.3242633595543793e-08,437261.0,437300.0,8.919158122955295e-05
2017-06-29,263.22,263.2200012207031,4.6375772111417746e-09,264.16,264.1600036621094,1.3863224346266634e-08,256.85,256.8500061035156,2.3762957379602767e-08,258.12,258.1199951171875,1.8916831323601002e-08,451173.0,526900.0,0.1678447070192588
2017-06-30,259.76,259.760009765625,3.759479905163232e-08,260.13,260.1300048828125,1.877066280187023e-08,256.63,256.6300048828125,1.9026662911869607e-08,256.69,256.69000244140625,9.51110767921648e-09,562260.0,564000.0,0.0030946537189200374
2017-07-03,257.26,257.260009765625,3.796013769985507e-08,258.6,258.6000061035156,2.3602148457868566e-08,256.09,256.0899963378906,1.4300087225471714e-08,258.23,258.2300109863281,4.254473950915383e-08,307361.0,307400.0,0.0001268866251735723
2017-07-05,258.68,258.67999267578125,2.8313819178116262e-08,260.09,260.0899963378906,1.4080162036300692e-08,257.6,257.6000061035156,2.3693771833421806e-08,259.28,259.2799987792969,4.7080496168305785e-09,349650.0,349700.0,0.00014300014300006048
2017-07-06,257.02,257.0199890136719,4.274503195844659e-08,257.66,257.6600036621094,1.4212952592629335e-08,253.2201,253.22000122070312,3.90092638302697e-07,254.33,254.3300018310547,7.1995229777854775e-09,423542.0,423500.0,9.916371930052126e-05
2017-07-07,254.74,254.7400054931641,2.156380651818779e-08,258.11,258.1099853515625,5.6752692656480974e-08,254.49,254.4900054931641,2.1584990017586847e-08,256.17,256.1700134277344,5.24172789617694e-08,340284.0,347800.0,0.022087432850207422
2017-07-10,255.5,255.5,0.0,257.05,257.04998779296875,4.7488937005013554e-08,253.31,253.30999755859375,9.638017606228289e-09,256.04,256.0400085449219,3.337338649878063e-08,562893.0,562900.0,1.2435755996298425e-05
2017-07-11,256.6,256.6000061035156,2.378610908237988e-08,261.21,261.2099914550781,3.2712843545112946e-08,255.27,255.27000427246097,1.6737027319635445e-08,259.32,259.32000732421875,2.8243940963790237e-08,567774.0,567800.0,4.5792868289096234e-05
2017-07-12,260.56,260.55999755859375,9.369842901563175e-09,263.6,263.6000061035156,2.315445990497267e-08,259.71,259.7099914550781,3.2901782187622075e-08,260.27,260.2699890136719,4.2211273365566626e-08,456700.0,456700.0,0.0
2017-07-13,261.65,261.6499938964844,2.3327023090935484e-08,265.28,265.2799987792969,4.601564795869706e-09,261.02,261.0199890136719,4.2089985829996124e-08,264.57,264.57000732421875,2.7683481729212644e-08,494545.0,497700.0,0.006379601451839578
2017-07-14,264.55,264.54998779296875,4.614262427704574e-08,265.27,265.2699890136719,4.141564480253379e-08,261.42,261.4200134277344,5.136460234922424e-08,264.14,264.1400146484375,5.545709669263488e-08,576127.0,585100.0,0.015574690996950302
2017-07-17,265.1,265.1000061035156,2.3023446260594937e-08,265.68,265.67999267578125,2.7567821248020152e-08,260.38,260.3800048828125,1.8752640329466885e-08,262.07,262.07000732421875,2.7947566483277342e-08,600138.0,591800.0,0.013893471168297977
2017-07-18,261.35,261.3500061035156,2.33537997829103e-08,263.06,263.05999755859375,9.280796242627787e-09,259.5,259.5,0.0,262.0,262.0,0.0,389096.0,395500.0,0.01645866315767841
2017-07-19,262.24,262.239990234375,3.723926556009616e-08,263.79,263.7900085449219,3.2392895255028975e-08,261.0,261.0,0.0,263.53,263.5299987792969,4.632121908265674e-09,755093.0,755100.0,9.270381264192551e-06
2017-07-20,243.88,243.8800048828125,2.002137322598685e-08,252.4467,252.4499969482422,1.3059977580276438e-05,235.89,235.88999938964844,2.587441372270405e-09,238.62,238.6199951171875,2.0462712746471823e-08,2094385.0,2099400.0,0.0023944976687666486
2017-07-21,235.98,235.97999572753903,1.810518246436743e-08,238.08,238.0800018310547,7.690921899339287e-09,232.55,232.5500030517578,1.3123017783556179e-08,236.54,236.5399932861328,2.8383644101737104e-08,1565321.0,1566900.0,0.0010087387826522853
2017-07-24,236.63,236.6300048828125,2.063479898062326e-08,240.26,240.2599945068359,2.2863414939067184e-08,235.97,235.97000122070312,5.173128370117297e-09,240.15,240.1499938964844,2.5415430315867127e-08,941922.0,948100.0,0.006558929507963551
2017-07-25,240.89,240.88999938964844,2.53373555469949e-09,244.87,244.8699951171875,1.9940427642417546e-08,239.87,239.8699951171875,2.035607826744723e-08,242.07,242.07000732421875,3.0256614769186285e-08,622873.0,626800.0,0.006304656005317266
2017-07-26,242.67,242.6699981689453,7.545451374824097e-09,242.67,242.6699981689453,7.545451374824097e-09,238.56,238.55999755859375,1.0233929592651236e-08,238.76,238.7599945068359,2.300705348456944e-08,477325.0,508100.0,0.06447389095480016
2017-07-27,243.0,243.0,0.0,243.13,243.1300048828125,2.0083134488757537e-08,237.55,237.5500030517578,1.2846801844546007e-08,240.71,240.7100067138672,2.789193298546877e-08,632698.0,632700.0,3.1610657849068247e-06
2017-07-28,240.18,240.17999267578125,3.049470709282076e-08,241.52,241.52000427246097,1.7689884668214972e-08,238.91,238.91000366210935,1.532840543383429e-08,241.05,241.0500030517578,1.2660268833286636e-08,527470.0,531200.0,0.007071492217566977
2017-07-31,241.3,241.3000030517578,1.26471519923399e-08,242.56,242.55999755859375,1.0065164257611059e-08,240.55,240.5500030517578,1.2686584005550117e-08,241.43,241.42999267578125,3.0336821277288095e-08,347921.0,347900.0,6.035852966623789e-05
2017-08-01,242.02,242.02000427246097,1.765333834669036e-08,242.48,242.47999572753903,1.7619848913241754e-08,239.83,239.8300018310547,7.63480256793514e-09,239.87,239.8699951171875,2.035607826744723e-08,363246.0,369000.0,0.015840504781883258
2017-08-02,239.88,239.8800048828125,2.035522972398951e-08,241.31,241.30999755859375,1.0117302440271203e-08,239.01,239.0099945068359,2.298298851233227e-08,240.44,240.44000244140625,1.0153910601218286e-08,481307.0,481300.0,1.4543731963190254e-05
2017-08-03,240.21,240.2100067138672,2.7949990322184703e-08,241.34,241.33999633789065,1.517406711393221e-08,239.0,239.0,0.0,239.99,239.9900054931641,2.288913747428012e-08,378662.0,378700.0,0.00010035334942504193
2017-08-04,240.99,240.9900054931641,2.2794157672478832e-08,241.4,241.3999938964844,2.5283826032840295e-08,238.99,238.9900054931641,2.2984911751677828e-08,239.27,239.27000427246097,1.7856233380797448e-08,295593.0,295600.0,2.3681210312931356e-05
2017-08-07,238.54,238.5399932861328,2.8145666020051863e-08,240.57,240.57000732421875,3.044527052686874e-08,238.45,238.4499969482422,1.2798313298034714e-08,238.97,238.97000122070312,5.1081856522472435e-09,273479.0,273500.0,7.67883457231111e-05
2017-08-08,238.02,238.02000427246097,1.7950008146527807e-08,239.23,239.22999572753903,1.785921899255527e-08,235.05,235.0500030517578,1.2983440988989514e-08,235.45,235.4499969482422,1.2961383744070076e-08,498763.0,498800.0,7.418353005328449e-05
2017-08-09,235.0,235.0,0.0,235.0,235.0,0.0,231.37,231.3699951171875,2.1103913616649095e-08,232.44,232.44000244140625,1.0503382608106904e-08,491145.0,491100.0,9.16226368994355e-05
2017-08-10,229.33,229.3300018310547,7.984366057200987e-09,229.58,229.5800018310547,7.975671456605937e-09,221.16,221.16000366210935,1.6558642457198403e-08,222.21,222.2100067138672,3.0214064139499897e-08,1260397.0,1267100.0,0.005318165625592508
