date,wiki_open,sheepb_open,open_absolute_relative_difference,wiki_high,sheepb_high,high_absolute_relative_difference,wiki_low,sheepb_low,low_absolute_relative_difference,wiki_close,sheepb_close,close_absolute_relative_difference,wiki_volume,sheepb_volume,volume_absolute_relative_difference
2012-07-02,91.7,91.6999969482422,3.3279801581187485e-08,92.96,92.95999908447266,9.848615922791737e-09,91.53,91.52999877929688,1.3336645121597712e-08,92.56,92.55999755859376,2.6376471895517284e-08,492900.0,492900.0,0.0
2012-07-03,92.26,92.26000213623048,2.315445990497267e-08,93.0,93.0,0.0,92.13,92.12999725341795,2.9812026958175863e-08,92.93,92.93000030517578,3.2839317931632195e-09,174600.0,174600.0,0.0
2012-07-05,92.4,92.4000015258789,1.651384096135189e-08,93.01,93.01000213623048,2.2967750590296987e-08,92.4,92.4000015258789,1.651384096135189e-08,92.82,92.81999969482422,3.287823457931438e-09,333800.0,333800.0,0.0
2012-07-06,92.5,92.5,0.0,93.166,93.16999816894533,4.2914463917353984e-05,91.872,91.87000274658205,2.1739522574337755e-05,92.47,92.47000122070312,1.320107201330245e-08,253500.0,253500.0,0.0
2012-07-09,92.53,92.52999877929688,1.3192511860715683e-08,92.72,92.72000122070312,1.3165478041088363e-08,92.02,92.0199966430664,3.648047808280097e-08,92.51,92.51000213623048,2.309188706917098e-08,259100.0,259100.0,0.0
2012-07-10,92.65,92.6500015258789,1.646928127208014e-08,93.59,93.58999633789062,3.912928070448629e-08,92.3,92.3000030517578,3.3063464854876656e-08,93.42,93.41999816894533,1.960024276215222e-08,572300.0,572300.0,0.0
2012-07-11,93.0,93.0,0.0,93.41,93.41000366210938,3.920468238938213e-08,91.53,91.52999877929688,1.3336645121597712e-08,92.38,92.37999725341795,2.9731349271422403e-08,473300.0,473300.0,0.0
2012-07-12,92.04,92.04000091552734,9.94705939838525e-09,92.81,92.80999755859376,2.6305422284877977e-08,91.44,91.44000244140624,2.6699543242969526e-08,92.53,92.52999877929688,1.3192511860715683e-08,580800.0,580800.0,0.0
2012-07-13,92.51,92.51000213623048,2.309188706917098e-08,93.3,93.3000030517578,3.270908677244222e-08,92.27,92.2699966430664,3.6381636370208525e-08,92.82,92.81999969482422,3.287823457931438e-09,353000.0,353000.0,0.0
2012-07-16,92.33,92.33000183105467,1.983163300245394e-08,93.75,93.75,0.0,92.33,92.33000183105467,1.983163300245394e-08,93.02,93.0199966430664,3.60882991268241e-08,363800.0,363800.0,0.0
2012-07-17,93.08,93.08000183105467,1.9671837936385828e-08,93.76,93.76000213623048,2.2784028219646757e-08,92.29,92.29000091552734,9.920114285577597e-09,93.32,93.31999969482422,3.270207660222013e-09,449000.0,449000.0,0.0
2012-07-18,93.15,93.1500015258789,1.638087931965515e-08,93.52,93.5199966430664,3.589535491066442e-08,92.77,92.7699966430664,3.6185551222089885e-08,93.16,93.16000366210938,3.930989023182008e-08,473200.0,473200.0,0.0
2012-07-19,93.24,93.23999786376952,2.291109479912734e-08,94.21,94.20999908447266,9.717942228704146e-09,92.61,92.61000061035156,6.590557877217407e-09,94.17,94.16999816894533,1.9444140075819405e-08,450900.0,450900.0,0.0
2012-07-20,94.22,94.22000122070312,1.2955881256715429e-08,94.5572,94.55999755859376,2.9585886571981135e-05,93.16,93.16000366210938,3.930989023182008e-08,93.34,93.33999633789062,3.923408375960946e-08,677900.0,677900.0,0.0
2012-07-23,92.47,92.47000122070312,1.320107201330245e-08,92.85,92.8499984741211,1.6433806093729686e-08,91.8,91.8000030517578,3.324354902467519e-08,92.63,92.62999725341795,2.96511070141392e-08,322900.0,322900.0,0.0
2012-07-24,92.9,92.9000015258789,1.6424961168937102e-08,92.94,92.94000244140624,2.6268627495440455e-08,90.97,90.97000122070312,1.3418743893822693e-08,91.38,91.37999725341795,3.0056708677506094e-08,339900.0,339900.0,0.0
2012-07-25,92.13,92.12999725341795,2.9812026958175863e-08,92.68,92.68000030517578,3.2927900406320987e-09,91.23,91.2300033569336,3.679637816667025e-08,91.72,91.72000122070312,1.330901788776373e-08,385900.0,385900.0,0.0
2012-07-26,92.17,92.16999816894533,1.9866059131068425e-08,92.79,92.79000091552734,9.86665948943255e-09,88.07,88.06999969482422,3.46515016680371e-09,92.22,92.22000122070312,1.3236858942278218e-08,1040600.0,1040600.0,0.0
2012-07-27,92.9,92.9000015258789,1.6424961168937102e-08,94.64,94.63999938964844,6.449192291313466e-09,92.16,92.16000366210938,3.9736429924275285e-08,94.52,94.5199966430664,3.55155902465043e-08,781300.0,781300.0,0.0
2012-07-30,94.23,94.2300033569336,3.562489214736786e-08,94.52,94.5199966430664,3.55155902465043e-08,93.5743,93.56999969482422,4.595604963941735e-05,93.99,93.98999786376952,2.272827404059541e-08,465800.0,465800.0,0.0
2012-07-31,93.45,93.4499969482422,3.2656584325607696e-08,93.98,93.9800033569336,3.571965945248223e-08,91.79,91.79000091552734,9.974151282676758e-09,92.85,92.8499984741211,1.6433806093729686e-08,593800.0,593800.0,0.0
2012-08-01,93.04,93.04000091552734,9.840147585649106e-09,93.29,93.29000091552734,9.813777790412814e-09,91.4,91.4000015258789,1.6694517546156362e-08,91.85,91.8499984741211,1.66127261946869e-08,522400.0,522400.0,0.0
2012-08-02,91.56,91.55999755859376,2.6664550456523273e-08,91.96,91.95999908447266,9.955712698683783e-09,90.37,90.37000274658205,3.039263085646837e-08,90.4,90.4000015258789,1.6879191377938696e-08,449600.0,449600.0,0.0
2012-08-03,91.53,91.52999877929688,1.3336645121597712e-08,92.28,92.27999877929688,1.3228252382369021e-08,91.16,91.16000366210938,4.0172327464560453e-08,91.84,91.83999633789062,3.9874884394386356e-08,303200.0,303200.0,0.0
2012-08-06,92.34,92.33999633789062,3.965897099611482e-08,92.43,92.43000030517578,3.3016962497356417e-09,91.17,91.16999816894533,2.0083960494687858e-08,91.42,91.41999816894533,2.002903820574886e-08,258200.0,258200.0,0.0
2012-08-07,91.91,91.91000366210938,3.984451502070385e-08,91.91,91.91000366210938,3.984451502070385e-08,90.21,90.20999908447266,1.0148845319690736e-08,90.35,90.3499984741211,1.6888532350378682e-08,513000.0,513000.0,0.0
2012-08-08,90.43,90.43000030517578,3.3747182826004973e-09,90.58,90.58000183105467,2.021477896185786e-08,89.21,89.20999908447266,1.0262608873823353e-08,89.67,89.66999816894531,2.041992519519198e-08,441100.0,441100.0,0.0
2012-08-09,90.18,90.18000030517578,3.3840736879398037e-09,90.18,90.18000030517578,3.3840736879398037e-09,88.79,88.79000091552734,1.0311153708641996e-08,89.06,89.05999755859375,2.7413050163183073e-08,549300.0,549300.0,0.0
2012-08-10,88.95,88.94999694824219,3.430868822373867e-08,90.06,90.05999755859375,2.7108663647190667e-08,88.67,88.66999816894531,2.0650216425721624e-08,89.82,89.81999969482422,3.3976371716093468e-09,425400.0,425400.0,0.0
2012-08-13,89.41,89.41000366210938,4.0958610725283506e-08,89.84,89.83999633789062,4.076257098528657e-08,88.96,88.95999908447266,1.0291449359378646e-08,89.77,89.7699966430664,3.739482667963756e-08,407600.0,407600.0,0.0
2012-08-14,89.81,89.80999755859375,2.7184124840040624e-08,90.25,90.25,0.0,89.54,89.54000091552734,1.0224785906842726e-08,90.0,90.0,0.0,242900.0,242900.0,0.0
2012-08-15,89.64,89.63999938964844,6.808919761347454e-09,90.41,90.41000366210938,4.050557889101469e-08,89.64,89.63999938964844,6.808919761347454e-09,90.13,90.12999725341795,3.047356089691533e-08,224200.0,224200.0,0.0
2012-08-16,90.24,90.23999786376952,2.3672766857885108e-08,91.68,91.68000030517578,3.3287061995679323e-09,90.17,90.16999816894533,2.030669488117809e-08,91.51,91.51000213623048,2.3344229882482637e-08,457600.0,457600.0,0.0
2012-08-17,91.75,91.75,0.0,92.0,92.0,0.0,90.74,90.73999786376952,2.3542323979164337e-08,91.47,91.47000122070312,1.3345393234942549e-08,363800.0,363800.0,0.0
2012-08-20,91.46,91.45999908447266,1.0010139273042284e-08,91.484,91.4800033569336,4.368679841726397e-05,90.2,90.1999969482422,3.383323499139834e-08,90.56,90.55999755859376,2.6958991150571876e-08,204300.0,204300.0,0.0
2012-08-21,90.45,90.4499969482422,3.3739721350123375e-08,91.15,91.1500015258789,1.6740306030271768e-08,90.08,90.08000183105467,2.0326983429796996e-08,90.23,90.2300033569336,3.7204184843986354e-08,278500.0,278500.0,0.0
2012-08-22,90.44,90.44000244140624,2.6994761537224576e-08,90.64,90.63999938964844,6.733799184921452e-09,90.0,90.0,0.0,90.29,90.29000091552734,1.0139853179325087e-08,265500.0,265500.0,0.0
2012-08-23,90.28,90.27999877929688,1.3521301744923164e-08,90.36,90.36000061035156,6.754665271557769e-09,90.01,90.01000213623047,2.37332569152926e-08,90.24,90.23999786376952,2.3672766857885108e-08,204200.0,204200.0,0.0
2012-08-24,90.41,90.41000366210938,4.050557889101469e-08,91.46,91.45999908447266,1.0010139273042284e-08,90.215,90.20999908447266,5.543330407742353e-05,91.26,91.26000213623048,2.3408179616879465e-08,264200.0,264200.0,0.0
2012-08-27,91.03,91.02999877929688,1.3409899191074715e-08,91.54,91.54000091552734,1.0001391048675146e-08,90.94,90.94000244140624,2.6846340928088352e-08,91.1,91.0999984741211,1.674949401397896e-08,336100.0,336100.0,0.0
2012-08-28,90.78,90.77999877929688,1.3446828872609728e-08,91.5244,91.5199966430664,4.811128981552226e-05,90.66,90.66000366210938,4.0393882461131625e-08,91.3,91.3000030517578,3.342560561669927e-08,190600.0,190600.0,0.0
2012-08-29,91.49,91.48999786376952,2.3349333022615326e-08,92.47,92.47000122070312,1.320107201330245e-08,91.2101,91.20999908447266,1.1064073752731218e-06,92.42,92.41999816894533,1.9812320672940587e-08,309000.0,309000.0,0.0
