date,nominal_open,nominal_high,nominal_low,nominal_close,nominal_volume,raw_source,prefix_preserving_open,prefix_preserving_high,prefix_preserving_low,prefix_preserving_close,prefix_preserving_volume,prefix_preserving_dollar_volume,prefix_preserving_source,repaired_open,repaired_high,repaired_low,repaired_close,repaired_volume,repaired_dollar_volume,repaired_source,prefix_preserving_factor,repaired_factor,cash_dividend_tail_or_prefix_repair
2018-09-10,70.48999786376953,71.77999877929688,70.33000183105469,71.19000244140625,1592500.0,SheepB,71.13613563132505,72.43796117923945,70.97467301494544,71.84255671355504,1592500.0,113370078.88793945,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,71.13613563132505,72.43796117923945,70.97467301494544,71.84255671355504,1592500.0,113370078.88793945,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,1.0091663751899136,1.0091663751899136,0.0
2018-09-11,71.12999725341797,72.54000091552734,70.70999908447266,71.75,1660100.0,SheepB,71.78200149550032,73.20492978019574,71.35815346575937,72.4076874198763,1660100.0,119112175.0,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,71.78200149550032,73.20492978019574,71.35815346575937,72.4076874198763,1660100.0,119112175.0,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,1.0091663751899136,1.0091663751899136,0.0
2018-09-12,72.11000061035156,72.77999877929688,69.69000244140625,70.6500015258789,2058400.0,SheepB,72.77098793089094,73.44712755442936,70.32880715077017,71.29760594703308,2058400.0,145425963.14086914,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,72.77098793089094,73.44712755442936,70.32880715077017,71.29760594703308,2058400.0,145425963.14086914,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,1.0091663751899136,1.0091663751899136,0.0
2018-09-13,72.0,72.47000122070312,71.08999633789062,72.02999877929688,2275800.0,SheepB,72.65997901367378,73.13428844190558,71.74163391657332,72.69025277303693,2275800.0,163925871.22192383,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,72.65997901367378,73.13428844190558,71.74163391657332,72.69025277303693,2275800.0,163925871.22192383,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,1.0091663751899136,1.0091663751899136,0.0
2018-09-14,71.91999816894531,71.97000122070312,69.83000183105469,70.38999938964844,2517300.0,SheepB,72.57924385581977,72.62970525431062,70.47008982735049,71.03522053367175,2517300.0,177192745.463562,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,72.57924385581977,72.62970525431062,70.47008982735049,71.03522053367175,2517300.0,177192745.463562,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,1.0091663751899136,1.0091663751899136,0.0
2018-09-17,70.4000015258789,70.52999877929688,67.73999786376953,68.91999816894531,2251200.0,SheepB,71.0453143532356,71.17650321025205,68.3609280995528,69.55174473025002,2251200.0,155152699.8779297,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,71.0453143532356,71.17650321025205,68.3609280995528,69.55174473025002,2251200.0,155152699.8779297,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,1.0091663751899136,1.0091663751899136,0.0
2018-09-18,69.48999786376953,70.63999938964844,69.29000091552734,69.5199966430664,2724900.0,SheepB,70.12696925613514,71.28751212746923,69.92513906082853,70.15724301549828,2724900.0,189435038.85269165,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,70.12696925613514,71.28751212746923,69.92513906082853,70.15724301549828,2724900.0,189435038.85269165,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,1.0091663751899136,1.0091663751899136,0.0
2018-09-19,69.08000183105469,69.29000091552734,65.08000183105469,65.5,4046500.0,SheepB,69.71321504595805,69.92513906082853,65.6765495451984,66.10039757493934,4046500.0,265045750.0,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,69.71321504595805,69.92513906082853,65.6765495451984,66.10039757493934,4046500.0,265045750.0,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,1.0091663751899136,1.0091663751899136,0.0
2018-09-20,65.80999755859375,66.61000061035156,64.08000183105469,65.94000244140625,2885900.0,SheepB,66.41323668746311,67.22057286734642,64.66738317000848,66.544433243808,2885900.0,190296253.0456543,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,66.41323668746311,67.22057286734642,64.66738317000848,66.544433243808,2885900.0,190296253.0456543,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,1.0091663751899136,1.0091663751899136,0.0
2018-09-21,66.08999633789062,67.51000213623047,65.61000061035156,66.87999725341797,5066100.0,SheepB,66.69580204062375,68.12882414488303,66.2114064921565,67.49304440094319,5066100.0,338820754.0855408,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,66.69580204062375,68.12882414488303,66.2114064921565,67.49304440094319,5066100.0,338820754.0855408,SheepB 2021 v1 frozen yfinance archive; nominal OHLCV plus cash-dividend forward normalization,1.0091663751899136,1.0091663751899136,0.0
