Date,Open,High,Low,Close,Adj Close,Volume,Name,Company Name,date,cash_dividend,canonical_factor,vendor_adjustment_factor
2019-12-05,50.939998626708984,51.45000076293945,50.439998626708984,50.75,47.89094161987305,2318900.0,HFC,HollyFrontier,2019-12-05,0.0,1.0432427318983442,0.9436638742832127
2019-12-06,50.959999084472656,51.33000183105469,50.560001373291016,50.939998626708984,48.07023620605469,1320700.0,HFC,HollyFrontier,2019-12-06,0.0,1.0432427318983442,0.9436638692968159
2019-12-09,50.529998779296875,50.72999954223633,49.369998931884766,49.40999984741211,46.626434326171875,1224900.0,HFC,HollyFrontier,2019-12-09,0.0,1.0432427318983442,0.9436639237029663
2019-12-10,49.33000183105469,50.29999923706055,49.13999938964844,50.060001373291016,47.23981475830078,1097200.0,HFC,HollyFrontier,2019-12-10,0.0,1.0432427318983442,0.9436638726003928
2019-12-11,50.13999938964844,50.54999923706055,49.63999938964844,50.099998474121094,47.27756118774414,1746200.0,HFC,HollyFrontier,2019-12-11,0.0,1.0432427318983442,0.9436639247038128
2019-12-12,50.150001525878906,50.9900016784668,49.84000015258789,50.45000076293945,47.60784530639648,1069500.0,HFC,HollyFrontier,2019-12-12,0.0,1.0432427318983442,0.943663916480437
2019-12-13,50.5,51.20000076293945,49.959999084472656,50.189998626708984,47.36248779296875,1249400.0,HFC,HollyFrontier,2019-12-13,0.0,1.0432427318983442,0.9436638591132467
2019-12-16,50.40999984741211,51.720001220703125,50.13999938964844,51.540000915527344,48.636444091796875,1612100.0,HFC,HollyFrontier,2019-12-16,0.0,1.0432427318983442,0.9436640129578321
2019-12-17,51.58000183105469,52.22999954223633,50.630001068115234,50.869998931884766,48.004180908203125,1762200.0,HFC,HollyFrontier,2019-12-17,0.0,1.0432427318983442,0.9436638866944151
2019-12-18,50.88999938964844,51.060001373291016,50.130001068115234,50.790000915527344,47.928688049316406,1648000.0,HFC,HollyFrontier,2019-12-18,0.0,1.0432427318983442,0.9436638548014638
2019-12-19,50.900001525878906,51.209999084472656,50.689998626708984,50.95000076293945,48.07967376708984,1161800.0,HFC,HollyFrontier,2019-12-19,0.0,1.0432427318983442,0.9436638478337872
2019-12-20,51.41999816894531,51.58000183105469,50.560001373291016,51.459999084472656,48.56093978881836,4032700.0,HFC,HollyFrontier,2019-12-20,0.0,1.0432427318983442,0.9436638292415157
2019-12-23,51.34000015258789,51.970001220703125,50.90999984741211,51.7599983215332,48.84403610229492,1378900.0,HFC,HollyFrontier,2019-12-23,0.0,1.0432427318983442,0.9436637883733241
