ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,Date,Open,High,Low,Close,Adj Close,Volume,Name,Company Name,vendor_factor,vendor_factor_step,inferred_cash_yahoo_convention,wiki_factor,wiki_factor_step
HFC,2017-11-20,43.98,44.6,43.701,44.3,2487617.0,0.33,1.0,43.98,44.6,43.701,44.3,2487617.0,2017-11-20,43.97999954223633,44.599998474121094,43.70000076293945,44.29999923706055,39.80622863769531,2511700.0,HFC,HollyFrontier,0.8985604813373037,0.0074862575381640095,0.3299942740062228,1.0,0.007449209932280709
HFC,2017-11-21,44.57,44.86,44.35,44.79,2267000.0,0.0,1.0,44.57,44.86,44.35,44.79,2267000.0,2017-11-21,44.56999969482422,44.86000061035156,44.349998474121094,44.790000915527344,40.24651718139648,2271200.0,HFC,HollyFrontier,0.898560311648581,-1.888450763543048e-07,-8.365838317188764e-06,1.0,0.0
HFC,2017-11-22,44.65,44.74,43.87,44.39,1445959.0,0.0,1.0,44.65,44.74,43.87,44.39,1445959.0,2017-11-22,44.650001525878906,44.7400016784668,43.869998931884766,44.38999938964844,39.88710403442383,1894900.0,HFC,HollyFrontier,0.8985605898369382,3.095934169028425e-07,1.386668513508892e-05,1.0,0.0
HFC,2017-11-24,44.49,44.51,43.94,44.05,2556646.0,0.0,1.0,44.49,44.51,43.94,44.05,2556646.0,2017-11-24,44.4900016784668,44.5099983215332,43.939998626708984,44.04999923706055,39.58158874511719,2556600.0,HFC,HollyFrontier,0.8985604865077056,-1.1499417373883603e-07,-5.10459189347365e-06,1.0,0.0
HFC,2017-11-27,44.03,45.14,43.99,44.76,2029516.0,0.0,1.0,44.03,45.14,43.99,44.76,2029516.0,2017-11-27,44.029998779296875,45.13999938964844,43.9900016784668,44.7599983215332,40.21956634521485,2079800.0,HFC,HollyFrontier,0.898560497172002,1.1868201088560681e-08,5.227942440058468e-07,1.0,0.0
HFC,2017-11-28,44.83,45.33,44.36,45.26,2634585.0,0.0,1.0,44.83,45.33,44.36,45.26,2634585.0,2017-11-28,44.83000183105469,45.33000183105469,44.36000061035156,45.2599983215332,40.66884231567383,3722300.0,HFC,HollyFrontier,0.898560402648644,-1.0519420601262652e-07,-4.708492981495988e-06,1.0,0.0
HFC,2017-11-29,44.79,44.79,44.02,44.33,1925463.0,0.0,1.0,44.79,44.79,44.02,44.33,1925463.0,2017-11-29,44.790000915527344,44.790000915527344,44.02000045776367,44.33000183105469,39.83319091796875,2274600.0,HFC,HollyFrontier,0.8985605520562878,1.6627445775796446e-07,7.525580427846879e-06,1.0,0.0
HFC,2017-11-30,44.7,44.72,43.95,44.48,3137814.0,0.0,1.0,44.7,44.72,43.95,44.48,3137814.0,2017-11-30,44.70000076293945,44.720001220703125,43.95000076293945,44.47999954223633,39.96797180175781,3923300.0,HFC,HollyFrontier,0.8985605263733404,-2.8582322397774362e-08,-1.267054438680465e-06,1.0,0.0
HFC,2017-12-01,44.69,44.84,43.01,44.25,2438475.0,0.0,1.0,44.69,44.84,43.01,44.25,2438475.0,2017-12-01,44.689998626708984,44.84000015258789,43.0099983215332,44.25,39.76129913330078,2458700.0,HFC,HollyFrontier,0.8985604323909782,-1.0459213317659533e-07,-4.6522585197671335e-06,1.0,0.0
HFC,2017-12-04,44.29,45.09,44.14,44.31,2459844.0,0.0,1.0,44.29,45.09,44.14,44.31,2459844.0,2017-12-04,44.290000915527344,45.09000015258789,44.13999938964844,44.310001373291016,39.815216064453125,3207800.0,HFC,HollyFrontier,0.8985604791349152,5.2020916241346526e-08,2.3019254257738986e-06,1.0,0.0
HFC,2017-12-05,44.11,46.16,44.1,45.9,3358335.0,0.0,1.0,44.11,46.16,44.1,45.9,3358335.0,2017-12-05,44.11000061035156,46.15999984741211,44.099998474121094,45.900001525878906,41.24393081665039,3391900.0,HFC,HollyFrontier,0.8985605543694073,8.372780002652291e-08,3.7099786242357682e-06,1.0,0.0
