date,wiki_dividend,wiki_split_ratio,wiki_close,wiki_factor_ratio,wiki_formula_ratio,wiki_formula_residual,sheepb_factor_ratio,sheepb_implied_cash_diagnostic_only
2011-11-10,0.1,1.0,64.82,1.0015427337241605,1.0015427337241591,1.3322676295501878e-15,1.0015745682351307,0.1000165465599912
2012-02-13,0.1,1.0,67.14,1.00148942508193,1.0014894250819184,1.1546319456101628e-14,1.0014964627721645,0.10000859465885582
2012-05-11,0.12,1.0,63.34,1.001894537417112,1.001894537417114,-1.9984014443252818e-15,1.0018414339379051,0.11998785550933559
2012-08-13,0.12,1.0,62.02,1.0019348597226598,1.00193485972267,-1.021405182655144e-14,1.0019175141889454,0.1199980431594147
2012-11-13,0.12,1.0,59.93,1.0020023360587305,1.0020023360587351,-4.6629367034256575e-15,1.0020130746043248,0.11999937749543267
2013-02-13,0.12,1.0,67.75,1.001771217712186,1.0017712177121771,8.881784197001252e-15,1.0017938922614218,0.11997555828968487
2013-05-13,0.14,1.0,70.25,1.0019928825622726,1.0019928825622775,-4.884981308350689e-15,1.0019889570040839,0.14000267576755265
2013-08-13,0.14,1.0,79.65,1.0017576898932783,1.0017576898932832,-4.884981308350689e-15,1.0017609830741911,0.13998057393973595
2013-11-13,0.14,1.0,103.14,1.001357378320697,1.001357378320729,-3.197442310920451e-14,1.0013842716113006,0.1399775793281378
2014-02-12,0.14,1.0,108.46,1.001290798451009,1.001290798451042,-3.2862601528904634e-14,1.001313204138012,0.1400006922443969
2014-05-13,0.16,1.0,127.94,1.0012505862122891,1.001250586212287,2.220446049250313e-15,1.0012547314905278,0.15997829686886153
2014-08-13,0.16,1.0,136.13,1.0011753470947415,1.001175347094689,5.262457136723242e-14,1.0011678828006227,0.16002326561598762
2014-11-12,0.16,1.0,114.55,1.0013967699694626,1.0013967699694457,1.687538997430238e-14,1.001382627819878,0.16002531098674194
2015-02-11,0.16,1.0,106.75,1.0014988290397748,1.0014988290398126,-3.774758283725532e-14,1.0015017685692638,0.16002841789685956
2015-05-13,0.16,1.0,116.93,1.0013683400324795,1.001368340032498,-1.84297022087776e-14,1.0013587277326053,0.16000377018103895
2015-08-12,0.16,1.0,118.8,1.001346801346793,1.0013468013468014,-8.43769498715119e-15,1.0013981948167008,0.1599675139738305
2015-11-10,0.16,1.0,117.62,1.0013603128719737,1.0013603128719606,1.3100631690576847e-14,1.0013650438173507,0.159969524472865
2016-02-10,0.16,1.0,83.37,1.001919155571554,1.0019191555715485,5.551115123125783e-15,1.0019565068187253,0.16002264243268408
2016-05-11,0.08,1.0,114.45,1.0006989951944536,1.000698995194408,4.551914400963142e-14,1.0007073048813735,0.08000325455701231
2016-08-11,0.08,1.0,129.8,1.0006163328197637,1.0006163328197226,4.107825191113079e-14,1.0006320434849052,0.07999142848140854
2016-11-10,0.08,1.0,125.31,1.0006384167264675,1.0006384167265183,-5.084821452783217e-14,1.000636907014168,0.08000825192040145
2017-02-13,0.08,1.0,132.73,1.0006027273412095,1.000602727341219,-9.547918011776346e-15,1.0006079530118688,0.08000660789186693
2017-05-11,0.08,1.0,118.28,1.0006763611768386,1.0006763611768685,-2.9976021664879227e-14,1.0006667302114847,0.0800009572343532
2017-08-11,0.08,1.0,97.52,1.0008203445447095,1.0008203445447088,6.661338147750939e-16,1.0008189183366423,0.08000831368207229
2017-09-14,0.16,1.0,106.71,1.001499390872487,1.001499390872458,2.886579864025407e-14,0.9999998601350544,-1.4919395578067172e-05
