date,wiki_open,sheepb_open,open_relative_difference,wiki_high,sheepb_high,high_relative_difference,wiki_low,sheepb_low,low_relative_difference,wiki_close,sheepb_close,close_relative_difference,wiki_volume,sheepb_volume,volume_relative_difference
2006-08-17,37.8,37.79999923706055,-2.018358336020043e-08,38.09,38.09000015258789,4.005982878751979e-09,37.57,37.56999969482422,-8.122858163872593e-09,37.94,37.939998626708984,-3.619638944130088e-08,681200.0,681200.0,0.0
2006-08-18,38.15,38.150001525878906,3.999682585131836e-08,38.83,38.83000183105469,4.7155670701570784e-08,38.13,38.130001068115234,2.801246345995878e-08,38.72,38.720001220703125,3.1526423693861716e-08,576000.0,576000.0,0.0
2006-08-21,38.95,38.95000076293945,1.9587662380970983e-08,39.2,39.20000076293945,1.946274097441858e-08,38.33,38.33000183105469,4.7770797984014735e-08,38.47,38.470001220703125,3.173130047606776e-08,505400.0,505400.0,0.0
2006-08-22,38.4,38.400001525878906,3.9736429924275285e-08,38.65,38.650001525878906,3.9479402635933525e-08,38.25,38.25,0.0,38.57,38.56999969482422,-7.912257737885398e-09,682100.0,682100.0,0.0
2006-08-23,38.5,38.5,0.0,38.58,38.58000183105469,4.7461241381441255e-08,37.52,37.52000045776367,1.220052414652173e-08,37.69,37.689998626708984,-3.6436482164781125e-08,678300.0,678300.0,0.0
2006-08-24,37.79,37.790000915527344,2.4226709305352756e-08,38.28,38.279998779296875,-3.1888796381274176e-08,37.59,37.59000015258789,4.0592680328188635e-09,38.17,38.16999816894531,-4.797104247167283e-08,920700.0,920700.0,0.0
2006-08-25,38.46,38.459999084472656,-2.3804663129567416e-08,39.17,39.16999816894531,-4.674635412094119e-08,38.46,38.459999084472656,-2.3804663129567416e-08,38.84,38.84000015258789,3.9286274233774066e-09,531900.0,531900.0,0.0
2006-08-28,38.39,38.38999938964844,-1.5898712235618007e-08,38.75,38.75,0.0,38.08,38.08000183105469,4.808441933512597e-08,38.4,38.400001525878906,3.9736429924275285e-08,418800.0,418800.0,0.0
2006-08-29,38.0,38.0,0.0,38.56,38.560001373291016,3.5614393434357794e-08,37.75,37.75,0.0,38.53,38.529998779296875,-3.168188755786616e-08,863000.0,863000.0,0.0
2006-08-30,38.5,38.5,0.0,38.54,38.540000915527344,2.375525021136582e-08,37.75,37.75,0.0,37.96,37.959999084472656,-2.4118212427204355e-08,647200.0,647200.0,0.0
2006-08-31,37.96,37.959999084472656,-2.4118212427204355e-08,38.45,38.45000076293945,1.9842378407020078e-08,37.76,37.7599983215332,-4.445092149918395e-08,38.3,38.29999923706055,-1.9920090132963253e-08,542800.0,542800.0,0.0
2006-09-01,38.4,38.400001525878906,3.9736429924275285e-08,38.93,38.93000030517578,7.839090265804316e-09,38.2,38.20000076293945,1.997223697536299e-08,38.78,38.779998779296875,-3.147764637834172e-08,558100.0,558100.0,0.0
2006-09-05,38.76,38.7599983215332,-4.3304096863927555e-08,39.09,39.09000015258789,3.90350174406251e-09,38.4,38.400001525878906,3.9736429924275285e-08,38.85,38.849998474121094,-3.927616232246578e-08,700200.0,700200.0,0.0
2006-09-06,38.6,38.599998474121094,-3.9530541617871506e-08,38.6,38.599998474121094,-3.9530541617871506e-08,37.64,37.63999938964844,-1.621550382857606e-08,37.72,37.720001220703125,3.2362224899884495e-08,691800.0,691800.0,0.0
2006-09-07,37.55,37.54999923706055,-2.0317961424431985e-08,38.06,38.060001373291016,3.608226517570756e-08,37.1,37.099998474121094,-4.1128811578694524e-08,37.91,37.90999984741211,-4.025003663699067e-09,693500.0,693500.0,0.0
2006-09-08,37.91,37.90999984741211,-4.025003663699067e-09,38.01,38.0099983215332,-4.415855814343672e-08,36.8,36.79999923706055,-2.073205029873293e-08,36.81,36.810001373291016,3.730755260278329e-08,916000.0,916000.0,0.0
2006-09-11,36.35,36.349998474121094,-4.197741143574518e-08,36.38,36.380001068115234,2.9359956910113283e-08,35.52,35.52000045776367,1.28874906302201e-08,35.83,35.83000183105469,5.1103954401554574e-08,1014800.0,1014800.0,0.0
2006-09-12,36.2,36.20000076293945,2.107567542708466e-08,36.41,36.40999984741211,-4.190823577054914e-09,35.45,35.45000076293945,2.1521564086413036e-08,35.7,35.70000076293945,2.1370852865132406e-08,865700.0,865700.0,0.0
2006-09-13,35.79,35.790000915527344,2.558053502355051e-08,36.8,36.79999923706055,-2.073205029873293e-08,35.76,35.7599983215332,-4.693699096058879e-08,36.62,36.619998931884766,-2.9167537718421954e-08,870000.0,870000.0,0.0
2006-09-14,36.55,36.54999923706055,-2.087385642113304e-08,36.7,36.70000076293945,2.078854088871651e-08,35.43,35.43000030517578,8.613485258379683e-09,35.58,35.58000183105469,5.1463032280096854e-08,2641700.0,2641700.0,0.0
2006-09-15,35.49,35.4900016784668,4.729407709902489e-08,35.49,35.4900016784668,4.729407709902489e-08,34.83,34.83000183105469,5.257119406465449e-08,35.1,35.099998474121094,-4.3472333510763406e-08,1104000.0,1104000.0,0.0
2006-09-18,35.3,35.29999923706055,-2.1613015599442065e-08,35.8,35.79999923706055,-2.1311157838432848e-08,35.15,35.150001525878906,4.341049519851481e-08,35.6,35.599998474121094,-4.2861767024504616e-08,765100.0,765100.0,0.0
2006-09-19,35.58,35.58000183105469,5.1463032280096854e-08,35.84,35.84000015258789,4.257474595092958e-09,34.5,34.5,0.0,35.02,35.02000045776367,1.307149255502793e-08,1283100.0,1283100.0,0.0
2006-09-20,35.02,35.02000045776367,1.307149255502793e-08,35.06,35.060001373291016,3.9169737897637447e-08,34.25,34.25,0.0,34.31,34.310001373291016,4.002596942775938e-08,883000.0,883000.0,0.0
2006-09-21,34.4,34.400001525878906,4.4356945005930015e-08,35.13,35.130001068115234,3.0404646578219285e-08,34.349,34.349998474121094,2.9068506247620363e-05,34.73,34.72999954223633,-1.3180641245114089e-08,903200.0,903200.0,0.0
2006-09-22,34.93,34.93000030517578,8.73678152046864e-09,35.03,35.029998779296875,-3.4847362995193976e-08,33.95,33.95000076293945,2.2472443239607287e-08,33.95,33.95000076293945,2.2472443239607287e-08,1060500.0,1060500.0,0.0
2006-09-25,33.95,33.95000076293945,2.2472443239607287e-08,34.48,34.47999954223633,-1.3276208465917705e-08,33.57,33.56999969482422,-9.090729280458731e-09,34.41,34.40999984741211,-4.434405287412346e-09,1595500.0,1595500.0,0.0
2006-09-26,34.15,34.150001525878906,4.4681666366841455e-08,35.17,35.16999816894531,-5.2062970934407815e-08,34.11,34.11000061035156,1.789362547022222e-08,35.01,35.0099983215332,-4.794249630624137e-08,1133000.0,1133000.0,0.0
2006-09-27,35.22,35.220001220703125,3.465937314928169e-08,35.5,35.5,0.0,34.67,34.66999816894531,-5.2813806994400636e-08,35.0,35.0,0.0,1109500.0,1109500.0,0.0
2006-09-28,35.11,35.11000061035156,1.738398069939251e-08,35.47,35.470001220703125,3.441508678037053e-08,34.86,34.86000061035156,1.7508650751452137e-08,34.95,34.95000076293945,2.182945491036037e-08,902900.0,902900.0,0.0
2006-09-29,34.95,34.95000076293945,2.182945491036037e-08,35.42,35.41999816894531,-5.169550221229002e-08,34.85,34.849998474121094,-4.3784186720685625e-08,35.19,35.189998626708984,-3.90250358694999e-08,992900.0,992900.0,0.0
2006-10-02,35.16,35.15999984741211,-4.339814729803493e-09,35.34,35.34000015258789,4.317710411427811e-09,34.32,34.31999969482422,-8.892068192878355e-09,34.34,34.34000015258789,4.443444501234239e-09,816700.0,816700.0,0.0
2006-10-03,34.25,34.25,0.0,34.26,34.2599983215332,-4.899202554753401e-08,33.35,33.349998474121094,-4.575349044078081e-08,33.43,33.43000030517578,9.128799938196153e-09,1249500.0,1249500.0,0.0
2006-10-04,33.68,33.68000030517578,9.061038586111181e-09,33.79,33.790000915527344,2.7094624099888165e-08,32.56,32.560001373291016,4.2177242365326606e-08,33.64,33.63999938964844,-1.814362549090731e-08,855900.0,855900.0,0.0
2006-10-05,34.27,34.27000045776367,1.335756261156007e-08,34.73,34.72999954223633,-1.3180641245114089e-08,33.94,33.939998626708984,-4.046231627530261e-08,34.25,34.25,0.0,703900.0,703900.0,0.0
2006-10-06,34.0,34.0,0.0,34.48,34.47999954223633,-1.3276208465917705e-08,33.61,33.61000061035156,1.815982031416752e-08,34.24,34.2400016784668,4.9020642434172146e-08,1206000.0,1206000.0,0.0
2006-10-09,34.53,34.529998779296875,-3.535195847170769e-08,34.81,34.810001373291016,3.945104887215223e-08,33.64,33.63999938964844,-1.814362549090731e-08,33.7,33.70000076293945,2.2639152774672766e-08,1170000.0,1170000.0,0.0
2006-10-10,33.71,33.709999084472656,-2.715892444271617e-08,34.59,34.59000015258789,4.411329523890117e-09,33.71,33.709999084472656,-2.715892444271617e-08,34.5,34.5,0.0,1306200.0,1306200.0,0.0
2006-10-11,34.53,34.529998779296875,-3.535195847170769e-08,34.64,34.63999938964844,-1.761984880221945e-08,33.7,33.70000076293945,2.2639152774672766e-08,33.7,33.70000076293945,2.2639152774672766e-08,956900.0,956900.0,0.0
2006-10-12,33.71,33.709999084472656,-2.715892444271617e-08,34.32,34.31999969482422,-8.892068192878355e-09,33.71,33.709999084472656,-2.715892444271617e-08,34.18,34.18000030517578,8.928489725334998e-09,976800.0,976800.0,0.0
2006-10-13,34.5,34.5,0.0,35.08,35.08000183105469,5.219654197752277e-08,34.17,34.16999816894531,-5.358661658849684e-08,34.88,34.880001068115234,3.06225698132323e-08,956000.0,956000.0,0.0
2006-10-16,34.95,34.95000076293945,2.182945491036037e-08,35.52,35.52000045776367,1.28874906302201e-08,34.87,34.869998931884766,-3.063135167735709e-08,35.52,35.52000045776367,1.28874906302201e-08,625100.0,625100.0,0.0
2006-10-17,35.6,35.599998474121094,-4.2861767024504616e-08,35.6,35.599998474121094,-4.2861767024504616e-08,34.7,34.70000076293945,2.198672777176114e-08,35.05,35.04999923706055,-2.1767174063214156e-08,696400.0,696400.0,0.0
2006-10-18,35.25,35.25,0.0,35.45,35.45000076293945,2.1521564086413036e-08,34.75,34.75,0.0,34.83,34.83000183105469,5.257119406465449e-08,620200.0,620200.0,0.0
2006-10-19,35.08,35.08000183105469,5.219654197752277e-08,35.85,35.849998474121094,-4.256287056136898e-08,35.0,35.0,0.0,35.77,35.77000045776367,1.279741868032147e-08,697600.0,697600.0,0.0
2006-10-20,35.92,35.91999816894531,-5.0975910048656203e-08,35.9799,35.97999954223633,2.7666068089793328e-06,35.04,35.040000915527344,2.6128063490560294e-08,35.7,35.70000076293945,2.1370852865132406e-08,1008000.0,1008000.0,0.0
