ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,factor
KRFT,2015-05-06,84.14,84.585,83.44,83.99,4362240.0,0.0,1.0,84.14,84.585,83.44,83.99,4362240.0,1.0
KRFT,2015-05-07,83.85,84.71,83.435,84.51,2186012.0,0.0,1.0,83.85,84.71,83.435,84.51,2186012.0,1.0
KRFT,2015-05-08,84.9,86.5,84.68,86.04,3457021.0,0.0,1.0,84.9,86.5,84.68,86.04,3457021.0,1.0
KRFT,2015-05-11,85.77,86.64,85.19,86.2,3826053.0,0.0,1.0,85.77,86.64,85.19,86.2,3826053.0,1.0
KRFT,2015-05-12,85.74,85.98,84.79,85.03,2221593.0,0.0,1.0,85.74,85.98,84.79,85.03,2221593.0,1.0
KRFT,2015-05-13,85.11,85.67,84.13,84.15,2556820.0,0.0,1.0,85.11,85.67,84.13,84.15,2556820.0,1.0
KRFT,2015-05-14,84.5,86.21,84.38,85.97,3143644.0,0.0,1.0,84.5,86.21,84.38,85.97,3143644.0,1.0
KRFT,2015-05-15,86.28,86.57,85.01,85.44,3376849.0,0.0,1.0,86.28,86.57,85.01,85.44,3376849.0,1.0
KRFT,2015-05-18,85.13,86.09,84.75,85.49,3716637.0,0.0,1.0,85.13,86.09,84.75,85.49,3716637.0,1.0
KRFT,2015-05-19,85.17,85.84,84.615,85.07,5157517.0,0.0,1.0,85.17,85.84,84.615,85.07,5157517.0,1.0
KRFT,2015-05-20,85.06,86.44,84.86,85.45,6371755.0,0.0,1.0,85.06,86.44,84.86,85.45,6371755.0,1.0
KRFT,2015-05-21,85.27,85.78,84.59,85.75,2334860.0,0.0,1.0,85.27,85.78,84.59,85.75,2334860.0,1.0
KRFT,2015-05-22,85.57,85.74,84.952,85.0,1282914.0,0.0,1.0,85.57,85.74,84.952,85.0,1282914.0,1.0
KRFT,2015-05-26,84.93,85.3,84.29,85.0,2902648.0,0.0,1.0,84.93,85.3,84.29,85.0,2902648.0,1.0
KRFT,2015-05-27,85.25,85.5,84.26,84.33,2832664.0,0.0,1.0,85.25,85.5,84.26,84.33,2832664.0,1.0
KRFT,2015-05-28,84.2,85.22,84.06,85.14,1818510.0,0.0,1.0,84.2,85.22,84.06,85.14,1818510.0,1.0
KRFT,2015-05-29,84.85,84.93,84.22,84.45,2037201.0,0.0,1.0,84.85,84.93,84.22,84.45,2037201.0,1.0
KRFT,2015-06-01,84.54,84.72,84.0,84.27,1722451.0,0.0,1.0,84.54,84.72,84.0,84.27,1722451.0,1.0
KRFT,2015-06-02,84.0,84.57,83.9,84.33,3073683.0,0.0,1.0,84.0,84.57,83.9,84.33,3073683.0,1.0
KRFT,2015-06-03,84.39,84.77,83.88,84.26,4058031.0,0.0,1.0,84.39,84.77,83.88,84.26,4058031.0,1.0
KRFT,2015-06-04,83.84,84.25,83.27,83.61,1926989.0,0.0,1.0,83.84,84.25,83.27,83.61,1926989.0,1.0
KRFT,2015-06-05,83.18,84.2,82.94,83.37,2629310.0,0.0,1.0,83.18,84.2,82.94,83.37,2629310.0,1.0
KRFT,2015-06-08,83.48,83.9,82.85,83.35,3667067.0,0.0,1.0,83.48,83.9,82.85,83.35,3667067.0,1.0
KRFT,2015-06-09,83.67,84.71,83.375,84.01,2405289.0,0.0,1.0,83.67,84.71,83.375,84.01,2405289.0,1.0
KRFT,2015-06-10,83.96,84.65,83.57,84.34,2134196.0,0.0,1.0,83.96,84.65,83.57,84.34,2134196.0,1.0
KRFT,2015-06-11,84.21,85.29,84.0801,84.51,2492783.0,0.0,1.0,84.21,85.29,84.0801,84.51,2492783.0,1.0
KRFT,2015-06-12,84.44,85.28,84.25,84.7,3210447.0,0.0,1.0,84.44,85.28,84.25,84.7,3210447.0,1.0
KRFT,2015-06-15,84.26,85.19,84.25,84.76,3231992.0,0.0,1.0,84.26,85.19,84.25,84.76,3231992.0,1.0
KRFT,2015-06-16,84.82,85.21,84.38,85.2,1754693.0,0.0,1.0,84.82,85.21,84.38,85.2,1754693.0,1.0
KRFT,2015-06-17,85.2,85.72,84.72,85.46,2832813.0,0.0,1.0,85.2,85.72,84.72,85.46,2832813.0,1.0
KRFT,2015-06-18,85.79,87.62,85.668,86.83,4563974.0,0.0,1.0,85.79,87.62,85.668,86.83,4563974.0,1.0
KRFT,2015-06-19,86.76,87.93,86.66,87.2,5911436.0,0.0,1.0,86.76,87.93,86.66,87.2,5911436.0,1.0
KRFT,2015-06-22,87.7,87.99,87.075,87.58,2815286.0,0.0,1.0,87.7,87.99,87.075,87.58,2815286.0,1.0
KRFT,2015-06-23,87.86,88.0,87.3,87.7,2919237.0,0.0,1.0,87.86,88.0,87.3,87.7,2919237.0,1.0
KRFT,2015-06-24,87.8,87.8,86.5,87.3,3841232.0,0.0,1.0,87.8,87.8,86.5,87.3,3841232.0,1.0
KRFT,2015-06-25,87.49,89.34,87.42,87.725,3412811.0,0.0,1.0,87.49,89.34,87.42,87.725,3412811.0,1.0
KRFT,2015-06-26,87.72,88.0,86.45,86.98,4685138.0,0.0,1.0,87.72,88.0,86.45,86.98,4685138.0,1.0
KRFT,2015-06-29,86.51,86.94,85.62,85.675,2629926.0,0.0,1.0,86.51,86.94,85.62,85.675,2629926.0,1.0
KRFT,2015-06-30,86.42,87.06,85.14,85.14,4520091.0,0.0,1.0,86.42,87.06,85.14,85.14,4520091.0,1.0
KRFT,2015-07-01,85.49,88.36,85.29,88.3,3078249.0,0.0,1.0,85.49,88.36,85.29,88.3,3078249.0,1.0
KRFT,2015-07-02,88.0,89.54,87.5101,88.19,3954167.0,0.0,1.0,88.0,89.54,87.5101,88.19,3954167.0,1.0
